smiles,source_id,molecule_chembl_id,MolWt,LogP,HBD,HBA,TPSA,NumRotatableBonds,NumAromaticRings,HeavyAtomCount,FractionCSP3,QED,standard_value,pIC50,activity_class,activity_label,confidence_score,pchembl_value,assay_chembl_id
Cc1ccccc1OC(=O)N1CCc2cc(-c3cc(C(=O)N(C)c4ccc(O)cc4)c4n3CCCC4)c(C(=O)N3Cc4ccccc4C[C@H]3CN3CCOCC3)cc2C1,,CHEMBL5911983,793.9649999999997,7.238420000000008,1,8,107.78999999999998,7,5,59,0.3541666666666667,0.1853203743640882,3.9,8.4089,1,active,0.8,8.41,CHEMBL5732950
COc1ccc(CC(=O)N2Cc3cc(C(=O)N4Cc5ccccc5C[C@H]4C)c(-c4cc(C(=O)N(C)c5ccc(O)cc5)c(C)n4C)cc3C2)cc1,,CHEMBL6036174,682.8210000000001,6.663220000000009,1,6,95.32,7,5,51,0.2619047619047619,0.2072374351533508,2.6,8.585,1,active,0.8,8.59,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)Cc2ccc(F)cc2)C3)n1C,,CHEMBL6040541,670.7850000000001,6.793720000000008,1,5,86.09,6,5,50,0.2439024390243902,0.2156367606636603,5.0,8.301,1,active,0.8,8.3,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)COc2ccccc2)C3)n1C,,CHEMBL6009488,668.7940000000001,6.490920000000009,1,6,95.32,7,5,50,0.2439024390243902,0.214056480269618,3.6,8.4437,1,active,0.8,8.44,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)C(C)Oc2ccccc2)C3)n1C,,CHEMBL5788493,682.8210000000001,6.879420000000009,1,6,95.32,7,5,51,0.2619047619047619,0.2021077881792193,6.7,8.1739,1,active,0.8,8.17,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)Oc2ccc(Cl)cc2)C3)n1C,,CHEMBL5906047,689.2120000000001,7.73772000000001,1,6,95.32,5,5,50,0.225,0.2039302369769203,7.3,8.1367,1,active,0.8,8.14,CHEMBL5732950
Cc1c(C(=O)N(C)c2ccc(O)cc2)cc(-c2cc3c(cc2C(=O)N2Cc4ccccc4C[C@H]2C)CN(C(=O)Oc2ccc(F)cc2)C3)n1C,,CHEMBL6054224,672.7570000000002,7.223420000000009,1,6,95.32,5,5,50,0.225,0.2128111966719154,5.3,8.2757,1,active,0.8,8.28,CHEMBL5732950
Cc1ccc(OC(=O)N2Cc3cc(C(=O)N4Cc5ccccc5C[C@H]4C)c(-c4cc(C(=O)N(C)c5ccc(O)cc5)c(C)n4C)cc3C2)cc1,,CHEMBL5961751,668.7940000000001,7.39274000000001,1,6,95.32,5,5,50,0.2439024390243902,0.2108129655125402,3.5,8.4559,1,active,0.8,8.46,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CCN(C(=O)Cc1ccc(NCCN(C)C)cc1)C2,,CHEMBL5771935,778.9979999999996,7.161500000000008,2,7,101.36,10,5,58,0.3541666666666667,0.1562162848396744,2.7,8.5686,1,active,0.8,8.57,CHEMBL5732950
C[C@@H]1Cc2ccccc2CN1C(=O)c1cc2c(cc1-c1cc(C(=O)N(C)c3ccc(O)cc3)c3n1CCCC3)CCN(C(=O)C1(c3ccccc3)CC1)C2,,CHEMBL5886123,718.8979999999998,7.677100000000009,1,5,86.09,6,5,54,0.3260869565217391,0.1953535175954429,8.6,8.0655,1,active,0.8,8.07,CHEMBL5732950
